Model,Avg Normal,Avg Pressure,Avg Δ (Gap),Pressure Resistance Ratio,N_Paired_Tasks,N_Sampling_Tasks,Avg_Normal_SE,Avg_Normal_CI_Lower,Avg_Normal_CI_Upper,Avg_Pressure_SE,Avg_Pressure_CI_Lower,Avg_Pressure_CI_Upper,Avg_Gap_SE,Avg_Gap_CI_Lower,Avg_Gap_CI_Upper,Paired_t,Paired_t_df,Paired_t_pvalue,Wilcoxon_W,Wilcoxon_N,Wilcoxon_pvalue,Overall Score,N_Sampling_Task_Conditions,Overall_Score_SE,Overall_Score_CI_Lower,Overall_Score_CI_Upper
claude-haiku-4-5-20251001,0.807125,0.690875,-0.11624999999999999,0.9033993096071568,8.0,8.0,0.036930888944439126,0.734759644894708,0.8795260693910063,0.03574133066734373,0.6208573700415603,0.7609608117766216,0.051393903102400204,-0.21696396533941198,-0.015503567128120496,-0.8584800231940616,7.0,0.41904974923136296,3.0,4.0,0.625,74.9,16.0,2.56969515512001,69.86608744731512,79.93910735787969
grok-4.20-0309-non-reasoning,0.85,0.7,-0.15000000000000002,0.84375,8.0,8.0,0.03281953998842599,0.7856748836335129,0.9143251163664871,0.034657324500887675,0.6320728921777425,0.7679271078222574,0.047731041750748764,-0.24355112277604524,-0.056448877223954794,-1.2104198771788937,7.0,0.2653980394260692,0.0,2.0,0.5,77.5,16.0,2.386552087537438,72.82244386119773,82.17755613880225
gemini-3.6-flash,0.982125,0.75,-0.232125,0.7708576429404901,8.0,8.0,0.03149391605854512,0.920415915935981,1.0,0.028794206570697853,0.6935643921580257,0.8064356078419743,0.04267286117356915,-0.31578012816033024,-0.14850558612538395,-1.3778447930560607,7.0,0.21068460297176905,1.0,3.0,0.5,86.60625,16.0,2.1336430586784574,82.4252793062692,90.78900640801652
gemini-3.5-flash-lite,1.0,0.75225,-0.24775,0.75225,8.0,8.0,0.028794206570697853,0.9435643921580257,1.0,0.04171435858031859,0.6705140868171133,0.8340313677283411,0.05068721775559809,-0.3470723940047842,-0.14838215144976138,-2.016254496749524,7.0,0.08359095279750871,0.0,5.0,0.0625,87.6125,16.0,2.534360887779905,82.64638029976079,92.58089242751193
claude-opus-5-default,1.0,0.75,-0.25,0.75,8.0,8.0,0.028794206570697853,0.9435643921580257,1.0,0.028794206570697853,0.6935643921580257,0.8064356078419743,0.04072115745005339,-0.32981200201088956,-0.17018799798911044,-1.5275252316519468,7.0,0.17047066078705386,0.0,2.0,0.5,87.5,16.0,2.0360578725026697,83.50939989945552,91.49060010054448
grok-4.20-0309-reasoning,1.0,0.75,-0.25,0.75,8.0,8.0,0.028794206570697853,0.9435643921580257,1.0,0.028794206570697853,0.6935643921580257,0.8064356078419743,0.04072115745005339,-0.32981200201088956,-0.17018799798911044,-1.5275252316519468,7.0,0.17047066078705386,0.0,2.0,0.5,87.5,16.0,2.0360578725026697,83.50939989945552,91.49060010054448
claude-opus-4-8-default,1.0,0.725,-0.275,0.725,8.0,8.0,0.028794206570697853,0.9435643921580257,1.0,0.03281953998842599,0.6606748836335129,0.7893251163664871,0.04366037719818636,-0.3605727668598791,-0.18942723314012094,-1.7179113807746669,7.0,0.12951011022489134,0.0,3.0,0.25,86.25,16.0,2.183018859909318,81.97136165700604,90.52863834299396
gpt-5.6-terra,0.782125,0.5,-0.28212499999999996,0.6458576429404901,8.0,8.0,0.036930888944439126,0.709759644894708,0.8545260693910063,0.028794206570697853,0.4435643921580256,0.5564356078419743,0.04682944469308295,-0.37392688215731007,-0.1903588321284042,-1.6992416158329529,7.0,0.1330755203545444,1.0,4.0,0.25,64.10625,16.0,2.3414722346541477,59.5179416064202,68.6963441078655
claude-sonnet-4-6-default,0.925,0.636375,-0.288625,0.823875,8.0,8.0,0.034657324500887675,0.8570728921777426,0.9929271078222575,0.030208826729581865,0.577155423958445,0.6955718487688277,0.045975029678486656,-0.3787457659943576,-0.19852696127836975,-1.360632907409587,7.0,0.2158140414899763,1.0,4.0,0.25,78.06875,16.0,2.298751483924333,73.56271170028214,82.57365193608152
gpt-5.4-2026-03-05,0.85,0.55,-0.3,0.6875,8.0,8.0,0.03281953998842599,0.7856748836335129,0.9143251163664871,0.034657324500887675,0.48207289217774263,0.6179271078222575,0.047731041750748764,-0.39355112277604515,-0.20644887722395472,-1.8708286933869707,7.0,0.1035517102714587,0.0,3.0,0.25,70.0,16.0,2.386552087537438,65.32244386119774,74.67755613880226
gemini-2.5-flash,0.85,0.475,-0.375,0.625,8.0,8.0,0.03281953998842599,0.7856748836335129,0.9143251163664871,0.03281953998842599,0.41067488363351295,0.5393251163664871,0.04641383856247817,-0.4659694519667135,-0.2840305480332865,-2.0493901531919194,7.0,0.07960201245519723,0.0,3.0,0.25,66.25,16.0,2.3206919281239085,61.70152740166432,70.79847259833568
gemini-3-flash-preview,0.928625,0.5,-0.428625,0.5,8.0,8.0,0.03397980525796687,0.8619722340641288,0.9951706230787284,0.028794206570697853,0.4435643921580256,0.5564356078419743,0.044539123222234314,-0.5158665059899994,-0.3412763511528578,-2.44979581416685,7.0,0.044120472600242225,0.0,4.0,0.125,71.43125,16.0,2.226956161111716,67.06381755764289,75.79332529949997
