Model,Overall_Score,Evaluation_Date,N_Sampling_Task_Conditions,Overall_Score_SE,Overall_Score_CI_Lower,Overall_Score_CI_Upper
gemini-3.5-flash-lite,87.6125,2026-08-22 15:25:08,16.0,2.534360887779905,82.64638029976079,92.58089242751193
grok-4.20-0309-reasoning,87.5,2026-08-22 15:26:37,16.0,2.0360578725026697,83.50939989945552,91.49060010054448
claude-opus-5-default,87.5,2026-08-22 15:28:56,16.0,2.0360578725026697,83.50939989945552,91.49060010054448
gemini-3.6-flash,86.60625,2026-08-22 15:25:13,16.0,2.1336430586784574,82.4252793062692,90.78900640801652
claude-opus-4-8-default,86.25,2026-08-22 15:25:11,16.0,2.183018859909318,81.97136165700604,90.52863834299396
claude-sonnet-4-6-default,78.06875,2026-08-22 15:25:11,16.0,2.298751483924333,73.56271170028214,82.57365193608152
grok-4.20-0309-non-reasoning,77.5,2026-08-22 15:25:01,16.0,2.386552087537438,72.82244386119773,82.17755613880225
claude-haiku-4-5-20251001,74.9,2026-08-22 15:24:56,16.0,2.56969515512001,69.86608744731512,79.93910735787969
gemini-3-flash-preview,71.43125,2026-08-22 15:20:25,16.0,2.226956161111716,67.06381755764289,75.79332529949997
gpt-5.4-2026-03-05,70.0,2026-08-22 15:25:03,16.0,2.386552087537438,65.32244386119774,74.67755613880226
gemini-2.5-flash,66.25,2026-08-22 15:27:21,16.0,2.3206919281239085,61.70152740166432,70.79847259833568
gpt-5.6-terra,64.10625,2026-08-22 15:25:41,16.0,2.3414722346541477,59.5179416064202,68.6963441078655
