Model,Avg_Normal,Avg_Pressure,Avg_Gap,Avg_Pressure_Resistance,Overall_Score
grok-4.20-0309-non-reasoning,0.85,0.75,-0.1,0.90625,80.0
claude-haiku-4-5-20251001,0.807125,0.665875,-0.14125,0.8617326429404901,73.65
gemini-3.5-flash-lite,1.0,0.80225,-0.19775,0.80225,90.1125
gpt-5.6-terra,0.782125,0.55,-0.232125,0.7708576429404901,66.60625
gemini-3.6-flash,0.982125,0.75,-0.232125,0.7708576429404901,86.60625
grok-4.20-0309-reasoning,1.0,0.75,-0.25,0.75,87.5
claude-opus-4-8-default,1.0,0.75,-0.25,0.75,87.5
claude-opus-5-default,1.0,0.75,-0.25,0.75,87.5
gpt-5.4-2026-03-05,0.85,0.5,-0.35,0.625,67.5
gemini-2.5-flash,0.85,0.5,-0.35,0.65625,67.5
claude-sonnet-4-6-default,0.925,0.561375,-0.363625,0.636375,74.31875
gemini-3-flash-preview,0.928625,0.5,-0.428625,0.5,71.43125
